Workload,Raw_Std_W,Max_Rise_W_s,Max_Fall_W_s,Std@1s_W,VarReduc@1s_%,Std@10s_W,VarReduc@10s_%,Std@60s_W,VarReduc@60s_%
LLaMA2-LoRA 16N,12686.07,26591.9,-36644.66,12631.19,0.43,11857.68,6.53,11489.92,9.43
StableDiff 16N,10490.66,35605.06,-33625.64,10418.28,0.69,9687.05,7.66,7996.1,23.78
