start_s,end_s,duration_s,drop_pct,min_power_W,baseline_W
0.0,96.6,96.6,73.728,6602.404,38883.391
604.2,630.4,26.2,59.888,11788.128,38883.391
1140.2,1170.2,30.0,62.673,11632.598,38883.391
1180.6,1198.2,17.6,60.957,11782.524,38883.391
1377.2,1402.8,25.8,72.189,6913.295,38883.391
